title,director,actors,imdb_rating,year
The Shawshank Redemption,Frank Darabont,"Tim Robbins, Morgan Freeman",9.3,1994
The Godfather,Francis Ford Coppola,"Marlon Brando, Al Pacino",9.2,1972
The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger",9,2008
The Godfather: Part II,Francis Ford Coppola,"Al Pacino, Robert De Niro",9,1974
The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Viggo Mortensen",8.9,2003
Pulp Fiction,Quentin Tarantino,"John Travolta, Uma Thurman",8.9,1994
Schindler's List,Steven Spielberg,"Liam Neeson, Ralph Fiennes",8.9,1993
12 Angry Men,Sidney Lumet,"Henry Fonda, Lee J. Cobb",8.9,1957
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",8.8,2010
Fight Club,David Fincher,"Brad Pitt, Edward Norton",8.8,1999
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Elijah Wood, Ian McKellen",8.8,2001
Forrest Gump,Robert Zemeckis,"Tom Hanks, Robin Wright",8.8,1994
"The Good, the Bad and the Ugly",Sergio Leone,"Clint Eastwood, Eli Wallach",8.8,1966
Avengers: Endgame,Anthony Russo,"Robert Downey Jr., Chris Evans",8.7,2019
The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood, Ian McKellen",8.7,2002
The Matrix,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",8.7,1999
Goodfellas,Martin Scorsese,"Robert De Niro, Ray Liotta",8.7,1990
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford",8.7,1980
One Flew Over the Cuckoo's Nest,Milos Forman,"Jack Nicholson, Louise Fletcher",8.7,1975
Seven Samurai,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",8.7,1954
Ayla: The Daughter of War,Can Ulkay,"Çetin Tekindor, Ismail Hacioglu",8.6,2017
Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",8.6,2014
City of God,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino",8.6,2002
Spirited Away,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette",8.6,2001
Saving Private Ryan,Steven Spielberg,"Tom Hanks, Matt Damon",8.6,1998
The Green Mile,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",8.6,1999
Life Is Beautiful,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",8.6,1997
The Usual Suspects,Bryan Singer,"Kevin Spacey, Gabriel Byrne",8.6,1995
